Indicador,Mes,Valor
Generadas,"Enero, 24",5.0
Aprobadas,"Enero, 24",1.0
Condicionadas,"Enero, 24",0.0
Rechazadas,"Enero, 24",4.0
Formalizadas,"Enero, 24",1.0
Generadas,"Febrero, 24",6.0
Aprobadas,"Febrero, 24",2.0
Condicionadas,"Febrero, 24",0.0
Rechazadas,"Febrero, 24",4.0
Formalizadas,"Febrero, 24",1.0
Generadas,"Marzo, 24",11.0
Aprobadas,"Marzo, 24",7.0
Condicionadas,"Marzo, 24",1.0
Rechazadas,"Marzo, 24",4.0
Formalizadas,"Marzo, 24",5.0
Generadas,"Abril, 24",23.0
Aprobadas,"Abril, 24",14.0
Condicionadas,"Abril, 24",0.0
Rechazadas,"Abril, 24",9.0
Formalizadas,"Abril, 24",11.0
Generadas,"Mayo, 24",26.0
Aprobadas,"Mayo, 24",8.0
Condicionadas,"Mayo, 24",4.0
Rechazadas,"Mayo, 24",14.0
Formalizadas,"Mayo, 24",3.0
Generadas,"Junio, 24",43.0
Aprobadas,"Junio, 24",13.0
Condicionadas,"Junio, 24",0.0
Rechazadas,"Junio, 24",22.0
Formalizadas,"Junio, 24",6.0
Generadas,"Julio, 24",55.0
Aprobadas,"Julio, 24",30.0
Condicionadas,"Julio, 24",3.0
Rechazadas,"Julio, 24",17.0
Formalizadas,"Julio, 24",17.0
Generadas,"Agosto, 24",36.0
Aprobadas,"Agosto, 24",19.0
Condicionadas,"Agosto, 24",0.0
Rechazadas,"Agosto, 24",13.0
Formalizadas,"Agosto, 24",9.0
Generadas,"Septiembre, 24",56.0
Aprobadas,"Septiembre, 24",26.0
Condicionadas,"Septiembre, 24",1.0
Rechazadas,"Septiembre, 24",13.0
Formalizadas,"Septiembre, 24",7.0
Generadas,"Octubre, 24",79.0
Aprobadas,"Octubre, 24",31.0
Condicionadas,"Octubre, 24",32.0
Rechazadas,"Octubre, 24",12.0
Formalizadas,"Octubre, 24",14.0
Generadas,"Noviembre, 24",76.0
Aprobadas,"Noviembre, 24",25.0
Condicionadas,"Noviembre, 24",26.0
Rechazadas,"Noviembre, 24",25.0
Formalizadas,"Noviembre, 24",14.0
Generadas,"Diciembre, 24",103.0
Aprobadas,"Diciembre, 24",39.0
Condicionadas,"Diciembre, 24",33.0
Rechazadas,"Diciembre, 24",26.0
Formalizadas,"Diciembre, 24",17.0
Generadas,"Enero, 25",83.0
Aprobadas,"Enero, 25",30.0
Condicionadas,"Enero, 25",25.0
Rechazadas,"Enero, 25",26.0
Formalizadas,"Enero, 25",19.0
Generadas,"Febrero, 25",76.0
Aprobadas,"Febrero, 25",27.0
Condicionadas,"Febrero, 25",18.0
Rechazadas,"Febrero, 25",21.0
Formalizadas,"Febrero, 25",12.0
Generadas,"Marzo, 25",92.0
Aprobadas,"Marzo, 25",31.0
Condicionadas,"Marzo, 25",27.0
Rechazadas,"Marzo, 25",30.0
Formalizadas,"Marzo, 25",20.0
Generadas,"Abril, 25",59.0
Aprobadas,"Abril, 25",35.0
Condicionadas,"Abril, 25",6.0
Rechazadas,"Abril, 25",16.0
Formalizadas,"Abril, 25",17.0
Generadas,"Mayo, 25",76.0
Aprobadas,"Mayo, 25",40.0
Condicionadas,"Mayo, 25",7.0
Rechazadas,"Mayo, 25",25.0
Formalizadas,"Mayo, 25",19.0
Generadas,"Junio, 25",97.0
Aprobadas,"Junio, 25",46.0
Condicionadas,"Junio, 25",25.0
Rechazadas,"Junio, 25",22.0
Formalizadas,"Junio, 25",25.0
Generadas,"Julio, 25",104.0
Aprobadas,"Julio, 25",41.0
Condicionadas,"Julio, 25",22.0
Rechazadas,"Julio, 25",33.0
Formalizadas,"Julio, 25",21.0
Generadas,"Agosto, 25",99.0
Aprobadas,"Agosto, 25",27.0
Condicionadas,"Agosto, 25",22.0
Rechazadas,"Agosto, 25",44.0
Formalizadas,"Agosto, 25",13.0
Generadas,"Septiembre, 25",127.0
Aprobadas,"Septiembre, 25",43.0
Condicionadas,"Septiembre, 25",32.0
Rechazadas,"Septiembre, 25",49.0
Formalizadas,"Septiembre, 25",25.0
Generadas,"Octubre, 25",136.0
Aprobadas,"Octubre, 25",51.0
Condicionadas,"Octubre, 25",22.0
Rechazadas,"Octubre, 25",25.0
Formalizadas,"Octubre, 25",25.0
Generadas,"Noviembre, 25",118.0
Aprobadas,"Noviembre, 25",49.0
Condicionadas,"Noviembre, 25",32.0
Rechazadas,"Noviembre, 25",36.0
Formalizadas,"Noviembre, 25",24.0
Generadas,"Diciembre, 25",111.0
Aprobadas,"Diciembre, 25",31.0
Condicionadas,"Diciembre, 25",49.0
Rechazadas,"Diciembre, 25",28.0
Formalizadas,"Diciembre, 25",14.0
Generadas,"Enero, 26",113.0
Aprobadas,"Enero, 26",37.0
Condicionadas,"Enero, 26",34.0
Rechazadas,"Enero, 26",36.0
Formalizadas,"Enero, 26",21.0
Generadas,"Febrero, 26",83.0
Aprobadas,"Febrero, 26",37.0
Condicionadas,"Febrero, 26",21.0
Rechazadas,"Febrero, 26",25.0
Formalizadas,"Febrero, 26",17.0
Generadas,"Marzo, 26",85.0
Aprobadas,"Marzo, 26",41.0
Condicionadas,"Marzo, 26",14.0
Rechazadas,"Marzo, 26",30.0
Formalizadas,"Marzo, 26",18.0
Generadas,"Abril, 26",74.0
Aprobadas,"Abril, 26",42.0
Condicionadas,"Abril, 26",16.0
Rechazadas,"Abril, 26",16.0
Formalizadas,"Abril, 26",16.0
Generadas,"Mayo, 26",95.0
Aprobadas,"Mayo, 26",44.0
Condicionadas,"Mayo, 26",17.0
Rechazadas,"Mayo, 26",30.0
Formalizadas,"Mayo, 26",19.0
Generadas,"Junio, 26",82.0
Aprobadas,"Junio, 26",35.0
Condicionadas,"Junio, 26",10.0
Rechazadas,"Junio, 26",33.0
Formalizadas,"Junio, 26",13.0
Generadas,"Julio, 26",32.0
Aprobadas,"Julio, 26",12.0
Condicionadas,"Julio, 26",9.0
Rechazadas,"Julio, 26",9.0
Formalizadas,"Julio, 26",4.0
