Motivo,Mes,Valor
Compra en otro lado,"Enero, 24",0.0
Falta importe para enganche,"Enero, 24",0.0
Espera comprar en futuro,"Enero, 24",0.0
Otros,"Enero, 24",0.0
Compra en otro lado,"Febrero, 24",0.0
Falta importe para enganche,"Febrero, 24",0.0
Espera comprar en futuro,"Febrero, 24",0.0
Otros,"Febrero, 24",0.0
Compra en otro lado,"Marzo, 24",0.0
Falta importe para enganche,"Marzo, 24",0.0
Espera comprar en futuro,"Marzo, 24",0.0
Otros,"Marzo, 24",0.0
Compra en otro lado,"Abril, 24",0.0
Falta importe para enganche,"Abril, 24",0.0
Espera comprar en futuro,"Abril, 24",0.0
Otros,"Abril, 24",0.0
Compra en otro lado,"Mayo, 24",0.0
Falta importe para enganche,"Mayo, 24",0.0
Espera comprar en futuro,"Mayo, 24",0.0
Otros,"Mayo, 24",0.0
Compra en otro lado,"Junio, 24",0.0
Falta importe para enganche,"Junio, 24",0.0
Espera comprar en futuro,"Junio, 24",0.0
Otros,"Junio, 24",0.0
Compra en otro lado,"Julio, 24",0.0
Falta importe para enganche,"Julio, 24",0.0
Espera comprar en futuro,"Julio, 24",0.0
Otros,"Julio, 24",0.0
Compra en otro lado,"Agosto, 24",0.0
Falta importe para enganche,"Agosto, 24",0.0
Espera comprar en futuro,"Agosto, 24",0.0
Otros,"Agosto, 24",0.0
Compra en otro lado,"Septiembre, 24",0.0
Falta importe para enganche,"Septiembre, 24",0.0
Espera comprar en futuro,"Septiembre, 24",0.0
Otros,"Septiembre, 24",0.0
Compra en otro lado,"Octubre, 24",0.0
Falta importe para enganche,"Octubre, 24",0.0
Espera comprar en futuro,"Octubre, 24",0.0
Otros,"Octubre, 24",0.0
Compra en otro lado,"Noviembre, 24",0.0
Falta importe para enganche,"Noviembre, 24",0.0
Espera comprar en futuro,"Noviembre, 24",0.0
Otros,"Noviembre, 24",0.0
Compra en otro lado,"Diciembre, 24",0.0
Falta importe para enganche,"Diciembre, 24",0.0
Espera comprar en futuro,"Diciembre, 24",0.0
Otros,"Diciembre, 24",0.0
Compra en otro lado,"Enero, 25",0.0
Falta importe para enganche,"Enero, 25",0.0
Espera comprar en futuro,"Enero, 25",0.0
Otros,"Enero, 25",0.0
Compra en otro lado,"Febrero, 25",0.0
Falta importe para enganche,"Febrero, 25",0.0
Espera comprar en futuro,"Febrero, 25",0.0
Otros,"Febrero, 25",0.0
Compra en otro lado,"Marzo, 25",0.0
Falta importe para enganche,"Marzo, 25",0.0
Espera comprar en futuro,"Marzo, 25",0.0
Otros,"Marzo, 25",0.0
Compra en otro lado,"Abril, 25",0.0
Falta importe para enganche,"Abril, 25",0.0
Espera comprar en futuro,"Abril, 25",0.0
Otros,"Abril, 25",0.0
Compra en otro lado,"Mayo, 25",4.0
Falta importe para enganche,"Mayo, 25",0.0
Espera comprar en futuro,"Mayo, 25",0.0
Otros,"Mayo, 25",3.0
Compra en otro lado,"Junio, 25",5.0
Falta importe para enganche,"Junio, 25",0.0
Espera comprar en futuro,"Junio, 25",0.0
Otros,"Junio, 25",4.0
Compra en otro lado,"Julio, 25",3.0
Falta importe para enganche,"Julio, 25",0.0
Espera comprar en futuro,"Julio, 25",0.0
Otros,"Julio, 25",6.0
Compra en otro lado,"Agosto, 25",5.0
Falta importe para enganche,"Agosto, 25",0.0
Espera comprar en futuro,"Agosto, 25",0.0
Otros,"Agosto, 25",0.0
Compra en otro lado,"Septiembre, 25",5.0
Falta importe para enganche,"Septiembre, 25",0.0
Espera comprar en futuro,"Septiembre, 25",0.0
Otros,"Septiembre, 25",4.0
Compra en otro lado,"Octubre, 25",0.0
Falta importe para enganche,"Octubre, 25",0.0
Espera comprar en futuro,"Octubre, 25",0.0
Otros,"Octubre, 25",5.0
Compra en otro lado,"Noviembre, 25",0.0
Falta importe para enganche,"Noviembre, 25",0.0
Espera comprar en futuro,"Noviembre, 25",0.0
Otros,"Noviembre, 25",0.0
Compra en otro lado,"Diciembre, 25",0.0
Falta importe para enganche,"Diciembre, 25",0.0
Espera comprar en futuro,"Diciembre, 25",0.0
Otros,"Diciembre, 25",3.0
Compra en otro lado,"Enero, 26",4.0
Falta importe para enganche,"Enero, 26",0.0
Espera comprar en futuro,"Enero, 26",0.0
Otros,"Enero, 26",0.0
Compra en otro lado,"Febrero, 26",1.0
Falta importe para enganche,"Febrero, 26",0.0
Espera comprar en futuro,"Febrero, 26",0.0
Otros,"Febrero, 26",5.0
Compra en otro lado,"Marzo, 26",1.0
Falta importe para enganche,"Marzo, 26",0.0
Espera comprar en futuro,"Marzo, 26",0.0
Otros,"Marzo, 26",0.0
Compra en otro lado,"Abril, 26",2.0
Falta importe para enganche,"Abril, 26",0.0
Espera comprar en futuro,"Abril, 26",0.0
Otros,"Abril, 26",3.0
Compra en otro lado,"Mayo, 26",2.0
Falta importe para enganche,"Mayo, 26",0.0
Espera comprar en futuro,"Mayo, 26",0.0
Otros,"Mayo, 26",0.0
Compra en otro lado,"Junio, 26",2.0
Falta importe para enganche,"Junio, 26",0.0
Espera comprar en futuro,"Junio, 26",0.0
Otros,"Junio, 26",5.0
Compra en otro lado,"Julio, 26",0.0
Falta importe para enganche,"Julio, 26",0.0
Espera comprar en futuro,"Julio, 26",0.0
Otros,"Julio, 26",0.0
