Motivo,Mes,Valor
Mal Buro,"Enero, 24",0.0
Score bajo,"Enero, 24",0.0
Capacidad de pago ,"Enero, 24",0.0
Otros,"Enero, 24",0.0
Mal Buro,"Febrero, 24",0.0
Score bajo,"Febrero, 24",0.0
Capacidad de pago ,"Febrero, 24",0.0
Otros,"Febrero, 24",0.0
Mal Buro,"Marzo, 24",0.0
Score bajo,"Marzo, 24",0.0
Capacidad de pago ,"Marzo, 24",0.0
Otros,"Marzo, 24",0.0
Mal Buro,"Abril, 24",0.0
Score bajo,"Abril, 24",0.0
Capacidad de pago ,"Abril, 24",0.0
Otros,"Abril, 24",0.0
Mal Buro,"Mayo, 24",0.0
Score bajo,"Mayo, 24",0.0
Capacidad de pago ,"Mayo, 24",0.0
Otros,"Mayo, 24",0.0
Mal Buro,"Junio, 24",0.0
Score bajo,"Junio, 24",0.0
Capacidad de pago ,"Junio, 24",0.0
Otros,"Junio, 24",0.0
Mal Buro,"Julio, 24",0.0
Score bajo,"Julio, 24",0.0
Capacidad de pago ,"Julio, 24",0.0
Otros,"Julio, 24",0.0
Mal Buro,"Agosto, 24",0.0
Score bajo,"Agosto, 24",0.0
Capacidad de pago ,"Agosto, 24",0.0
Otros,"Agosto, 24",0.0
Mal Buro,"Septiembre, 24",0.0
Score bajo,"Septiembre, 24",0.0
Capacidad de pago ,"Septiembre, 24",0.0
Otros,"Septiembre, 24",0.0
Mal Buro,"Octubre, 24",0.0
Score bajo,"Octubre, 24",0.0
Capacidad de pago ,"Octubre, 24",0.0
Otros,"Octubre, 24",0.0
Mal Buro,"Noviembre, 24",0.0
Score bajo,"Noviembre, 24",0.0
Capacidad de pago ,"Noviembre, 24",0.0
Otros,"Noviembre, 24",0.0
Mal Buro,"Diciembre, 24",0.0
Score bajo,"Diciembre, 24",0.0
Capacidad de pago ,"Diciembre, 24",0.0
Otros,"Diciembre, 24",0.0
Mal Buro,"Enero, 25",0.0
Score bajo,"Enero, 25",0.0
Capacidad de pago ,"Enero, 25",0.0
Otros,"Enero, 25",0.0
Mal Buro,"Febrero, 25",0.0
Score bajo,"Febrero, 25",0.0
Capacidad de pago ,"Febrero, 25",0.0
Otros,"Febrero, 25",0.0
Mal Buro,"Marzo, 25",0.0
Score bajo,"Marzo, 25",0.0
Capacidad de pago ,"Marzo, 25",0.0
Otros,"Marzo, 25",0.0
Mal Buro,"Abril, 25",0.0
Score bajo,"Abril, 25",0.0
Capacidad de pago ,"Abril, 25",0.0
Otros,"Abril, 25",0.0
Mal Buro,"Mayo, 25",22.0
Score bajo,"Mayo, 25",3.0
Capacidad de pago ,"Mayo, 25",0.0
Otros,"Mayo, 25",0.0
Mal Buro,"Junio, 25",17.0
Score bajo,"Junio, 25",3.0
Capacidad de pago ,"Junio, 25",0.0
Otros,"Junio, 25",0.0
Mal Buro,"Julio, 25",27.0
Score bajo,"Julio, 25",5.0
Capacidad de pago ,"Julio, 25",0.0
Otros,"Julio, 25",0.0
Mal Buro,"Agosto, 25",31.0
Score bajo,"Agosto, 25",0.0
Capacidad de pago ,"Agosto, 25",0.0
Otros,"Agosto, 25",0.0
Mal Buro,"Septiembre, 25",40.0
Score bajo,"Septiembre, 25",8.0
Capacidad de pago ,"Septiembre, 25",1.0
Otros,"Septiembre, 25",0.0
Mal Buro,"Octubre, 25",54.0
Score bajo,"Octubre, 25",6.0
Capacidad de pago ,"Octubre, 25",0.0
Otros,"Octubre, 25",0.0
Mal Buro,"Noviembre, 25",26.0
Score bajo,"Noviembre, 25",4.0
Capacidad de pago ,"Noviembre, 25",0.0
Otros,"Noviembre, 25",0.0
Mal Buro,"Diciembre, 25",27.0
Score bajo,"Diciembre, 25",7.0
Capacidad de pago ,"Diciembre, 25",0.0
Otros,"Diciembre, 25",0.0
Mal Buro,"Enero, 26",33.0
Score bajo,"Enero, 26",5.0
Capacidad de pago ,"Enero, 26",0.0
Otros,"Enero, 26",0.0
Mal Buro,"Febrero, 26",19.0
Score bajo,"Febrero, 26",3.0
Capacidad de pago ,"Febrero, 26",0.0
Otros,"Febrero, 26",0.0
Mal Buro,"Marzo, 26",15.0
Score bajo,"Marzo, 26",10.0
Capacidad de pago ,"Marzo, 26",0.0
Otros,"Marzo, 26",0.0
Mal Buro,"Abril, 26",12.0
Score bajo,"Abril, 26",4.0
Capacidad de pago ,"Abril, 26",0.0
Otros,"Abril, 26",0.0
Mal Buro,"Mayo, 26",12.0
Score bajo,"Mayo, 26",10.0
Capacidad de pago ,"Mayo, 26",0.0
Otros,"Mayo, 26",0.0
Mal Buro,"Junio, 26",22.0
Score bajo,"Junio, 26",4.0
Capacidad de pago ,"Junio, 26",0.0
Otros,"Junio, 26",0.0
Mal Buro,"Julio, 26",0.0
Score bajo,"Julio, 26",0.0
Capacidad de pago ,"Julio, 26",0.0
Otros,"Julio, 26",0.0
